"Issue","Subject","Company","Response","Product Area","Status","Request Type"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
","Claude access lost","Claude","I'm happy to help you regain access to your Claude team workspace. Since your seat was removed by your IT admin, you'll need to reach out to them to request reassignment. If you're unable to contact your admin, you can also try following the steps in our documentation to request reassignment through the Organization settings. Please let me know if you have any further questions or concerns.","enterprise","Replied","product_issue"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","Thank you for reaching out about your test score dispute. Unfortunately, HackerRank does not have the authority to review or modify test scores. According to our documentation, all such requests should be directed to your recruiter or hiring team. They will be able to review your test results and make any necessary adjustments. If you have any further questions or concerns, please don't hesitate to reach out to us.","general","Replied","product_issue"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
","Help","Visa","We're sorry to hear that you received the wrong product from the merchant. To resolve this issue, please contact the merchant directly to request a refund and replacement. If the merchant is unresponsive, you can also file a dispute with your bank or credit card issuer. Additionally, you can report the issue to Visa using our online form: https://usa.visa.com/support/contact-us. We'll do our best to assist you in resolving this matter.","general_support","Replied","product_issue"
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","Sorry to hear that your mock interviews stopped in between. Please try reattempting the interview by clicking the 'Reattempt Later' button. If the issue persists, you can also try ending the session by clicking 'End Anyway' to permanently end the session. If you're still facing issues, feel free to contact our support team for further assistance.","interviews","Replied","product_issue"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
","Give me my money","HackerRank","","general","Escalated","invalid"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","Hello, I'd be happy to help you with the infosec process for your company. To get started, please refer to our Quick Start Guide for Recruiters. This guide will introduce you to the key features of HackerRank Screen and help you efficiently hire skilled developers. If you have any specific questions or need further assistance, feel free to ask.","general","Replied","product_issue"
"i can not able to see apply tab
","I need to practice, submissions not working","HackerRank","It seems like you're experiencing issues with the Apply tab. Ensure your internet connection is stable and try refreshing the page. If the issue persists, try clearing your browser cache or switching to a different browser like Chrome, Firefox, or Edge for full compatibility.","general","Replied","product_issue"
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","","general","Escalated","invalid"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","We're sorry to hear you're facing an issue with the compatible check. Please try the following steps: 1) Ensure you have a stable internet connection. 2) Check if you're using a supported browser (Chrome or Edge). 3) If you're using multiple monitors, try switching to a single monitor. If the issue persists, please contact our support team for further assistance.","interviews","Replied","product_issue"
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","Hello, I understand that unforeseen circumstances prevented you from attending the test at the scheduled time. Unfortunately, our documentation does not provide information on rescheduling assessments. However, I can suggest that you contact our support team directly at support@hackerrank.com, and they will be happy to assist you with rescheduling your assessment. Please provide them with your assessment details, and they will work with you to find a suitable alternative date and time. Thank you for your understanding, and I hope this helps.","interviews","Replied","product_issue"
