"Issue","Subject","Company","Response","Product Area","Status","Request Type"
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
","Claude access lost","Claude","I'm sorry to hear that you lost access to your Claude team workspace. To regain access, please contact your IT admin to reassign your seat. If you're not the workspace owner or admin, they can reassign you to a seat type that grants you access. If you need further assistance, feel free to reply to this ticket.","conversation_management","Replied","product_issue"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","I understand your concern about the test score dispute. However, according to our documentation, HackerRank does not participate in hiring decisions. We're not authorized to review or modify test results. Please reach out to your recruiter or hiring team to discuss your test results and next steps.","screen","Replied","product_issue"
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
","Help","Visa","I'm sorry to hear that you received the wrong product. Please contact the merchant directly to resolve the issue. If you need assistance with a refund, you can also contact Visa customer service at [phone number] or submit a claim through our website.","general_support","Replied","product_issue"
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","Try clicking **Reattempt Later** to attempt the interview again later. If the issue persists, you can also view your previous mock interviews by going to the **Prepare** tab, locating the **Coding** card, clicking **Take Interview**, and then clicking **View Previous Interviews**.","screen","Replied","bug"
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
","Give me my money","HackerRank","For billing issues, contact support at [support email]. Please provide your order ID: cs_live_abcdefgh for further assistance.","integrations","Replied","bug"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","Hi, I'd be happy to help you with the infosec process for your company. However, I need more information about your specific requirements. Could you please provide more details about the forms you're referring to? I can guide you through the configuration steps for integrating HackerRank with your HR system. You can also refer to our documentation on integrating HackerRank with Jobvite or Eightfold for more information.","screen","Replied","product_issue"
"i can not able to see apply tab
","I need to practice, submissions not working","HackerRank","Try refreshing the page or clearing your browser cache. If the issue persists, check your internet connection and ensure you're using a compatible browser like Chrome, Firefox, or Edge.","screen","Replied","bug"
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","Sorry for the issue. Try refreshing the page, clearing cache, or switching to a different browser like Chrome, Firefox, or Edge. Ensure your internet connection is stable. If the issue persists, try reopening the challenge window or contact support at [support email].","screen","Replied","bug"
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","Hi, it seems like you're facing an issue with the compatible check during the test. Have you tried enabling Proctor Mode at the test level? You can find the steps in our documentation [here](https://www.hackerrank.com/compatibility). Also, make sure you're using a single monitor and a supported browser like Chrome or Edge. If the issue persists, feel free to reach out to us for further assistance.","screen","Replied","bug"
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","I understand your concern about rescheduling your assessment. However, according to our documentation, HackerRank does not participate in hiring decisions and is not authorized to reschedule assessments. Please contact your hiring manager or the company that invited you to reschedule the assessment. You can also refer to our article on rescheduling an interview for more information.","screen","Replied","feature_request"
